Date,Price
Apr 20,251.60
Mar 20,223.40
Feb 20,343.53
Jan 20,405.45
Dec 19,456.46
Nov 19,431.37
Oct 19,426.66
Sep 19,437.13
Aug 19,422.09
Jul 19,462.47
Jun 19,471.28
May 19,432.10
Apr 19,489.38
Mar 19,489.45
Feb 19,479.94
Jan 19,470.81
Dec 18,424.07
Nov 18,486.42
Oct 18,497.37
Sep 18,560.91
Aug 18,547.58
Jul 18,569.16
Jun 18,561.54
May 18,558.35
Apr 18,544.56
Mar 18,498.29
Feb 18,490.67
Jan 18,553.45
Dec 17,533.41
Nov 17,509.28
Oct 17,503.07
Sep 17,506.72
Aug 17,461.61
Jul 17,489.57
Jun 17,477.91
May 17,479.19
Apr 17,498.95
Mar 17,514.01
Feb 17,519.74
Jan 17,534.34
Dec 16,554.50
Nov 16,544.67
Oct 16,504.89
Sep 16,520.35
Aug 16,505.45
Jul 16,502.23
Jun 16,512.39
May 16,496.54
Apr 16,502.42
Mar 16,462.41
Feb 16,423.54
Jan 16,434.67
Dec 15,448.44
Nov 15,498.26
Oct 15,502.11
Sep 15,451.33
Aug 15,484.21
Jul 15,508.05
Jun 15,551.11
May 15,571.41
Apr 15,602.89
Mar 15,565.76
Feb 15,577.51
Jan 15,557.95
Dec 14,586.59
Nov 14,584.58
Oct 14,641.32
Sep 14,661.05
Aug 14,715.72
Jul 14,702.87
Jun 14,727.63
May 14,693.46
Apr 14,686.29
Mar 14,652.90
Feb 14,638.36
Jan 14,610.44
Dec 13,651.67
Nov 13,632.66
Oct 13,629.49
Sep 13,604.86
Aug 13,594.84
Jul 13,607.46
Jun 13,578.54
May 13,590.86
Apr 13,578.84
Mar 13,583.98
Feb 13,573.39
Jan 13,573.41
Dec 12,532.96
Nov 12,530.21
Oct 12,539.94
Sep 12,551.19
Aug 12,533.54
Jul 12,523.70
Jun 12,503.27
May 12,476.51
Apr 12,533.15
Mar 12,538.43
Feb 12,557.36
Jan 12,528.53
Dec 11,520.81
Nov 11,526.41
Oct 11,517.85
Sep 11,442.79
Aug 11,506.52
Jul 11,563.02
Jun 11,559.46
May 11,570.47
Apr 11,598.02
Mar 11,589.31
Feb 11,580.67
Jan 11,543.84
Dec 10,506.75
Nov 10,465.21
Oct 10,442.59
Sep 10,419.27
Aug 10,384.14
Jul 10,403.14
Jun 10,373.36
May 10,396.31
Apr 10,449.37
Mar 10,430.31
Feb 10,418.27
Jan 10,410.57
Dec 09,429.95
Nov 09,434.25
Oct 09,422.22
Sep 09,409.31
Aug 09,391.31
Jul 09,389.92
Jun 09,373.84
May 09,392.21
Apr 09,356.03
Mar 09,339.68
Feb 09,327.54
Jan 09,374.14
Dec 08,386.35
Nov 08,402.80
Oct 08,401.21
Sep 08,489.35
Aug 08,556.07
Jul 08,560.76
Jun 08,652.00
May 08,637.78
Apr 08,618.24
Mar 08,557.65
Feb 08,572.93
Jan 08,537.15
Dec 07,603.04
Nov 07,562.13
Oct 07,585.46
Sep 07,579.47
Aug 07,536.35
Jul 07,533.45
Jun 07,529.71
May 07,520.75
Apr 07,487.50
Mar 07,463.37
Feb 07,436.83
Jan 07,447.11
Dec 06,455.53
Nov 06,464.36
Oct 06,429.74
Sep 06,411.38
Aug 06,423.25
Jul 06,441.21
Jun 06,420.35
May 06,411.95
Apr 06,425.48
Mar 06,404.78
Feb 06,389.80
Jan 06,424.36
Dec 05,372.73
Nov 05,370.95
Oct 05,366.02
Sep 05,403.96
Aug 05,381.12
Jul 05,362.63
Jun 05,343.01
May 05,324.28
Apr 05,319.92
Mar 05,337.88
Feb 05,350.68
Jan 05,296.47
Dec 04,288.63
Nov 04,294.61
Oct 04,278.66
Sep 04,276.95
Aug 04,255.56
Jul 04,259.15
Jun 04,250.82
May 04,238.54
Apr 04,238.31
Mar 04,234.45
Feb 04,236.04
Jan 04,226.94
Dec 03,224.14
Nov 03,196.96
Oct 03,197.23
Sep 03,195.65
Aug 03,200.67
Jul 03,189.91
Jun 03,194.82
May 03,197.00
Apr 03,182.22
Mar 03,183.11
Feb 03,181.06
Jan 03,178.38
Dec 02,183.13
Nov 02,183.19
Oct 02,177.56
Sep 02,172.62
Aug 02,188.98
Jul 02,189.85
Jun 02,217.58
May 02,218.21
Apr 02,218.01
Mar 02,229.74
Feb 02,215.44
Jan 02,207.27
Dec 01,211.30
Nov 01,200.73
